Earthquake count within 2deg border 2010,Earthquake count within 2deg border 2011,Earthquake count within 2deg border 2012,Earthquake count within 2deg border 2013,Earthquake count within 2deg border 2014,Earthquake count within 2deg border 2015,Earthquake count within 2deg border 2016,Earthquake count within 2deg border 2017,Earthquake count within 2deg border 2018,Earthquake count within 2deg border 2019,Earthquake count within 2deg border 2020,Earthquake count within 2deg border 2021,Earthquake count within 2deg border 2022,Earthquake count within 2deg border 2023,Total
Afghanistan,23.0,8.0,13.0,9.0,5.0,10.0,18.0,14.0,7.0,8.0,10.0,12.0,12.0,20.0,169.0
Albania,1.0,1.0,0.0,1.0,11.0,3.0,5.0,1.0,5.0,12.0,4.0,7.0,3.0,0.0,54.0
Algeria,3.0,0.0,1.0,2.0,2.0,0.0,12.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,32.0
American Samoa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,7.0
Antigua and Barb.,2.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,2.0,19.0
Argentina,174.0,45.0,31.0,8.0,19.0,119.0,38.0,36.0,12.0,20.0,20.0,16.0,14.0,18.0,570.0
Australia,3.0,4.0,3.0,2.0,0.0,4.0,5.0,1.0,3.0,5.0,3.0,4.0,3.0,1.0,41.0
Azerbaijan,1.0,13.0,14.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,5.0,7.0,64.0
Bahamas,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0
Bangladesh,2.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,9.0,6.0,2.0,4.0,48.0
Belize,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,16.0
Bolivia,9.0,10.0,5.0,5.0,56.0,6.0,11.0,10.0,4.0,9.0,10.0,4.0,11.0,3.0,153.0
