,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,3_5,-55.0,-125.0,-55.7216,-124.947,southern East Pacific Rise,Country not found,5.6,10.0,1550274700680,"(2019, 2, 15)"
1,3_14,-55.0,-35.0,-55.1004,-31.676,South Georgia Island region,Country not found,5.1,10.0,1550402957300,"(2019, 2, 17)"
2,3_15,-55.0,-25.0,-59.879,-25.8795,South Sandwich Islands region,Country not found,5.1,10.0,1550445534100,"(2019, 2, 17)"
3,3_15,-55.0,-25.0,-57.4153,-23.5848,South Sandwich Islands region,Country not found,5.0,10.0,1551248894220,"(2019, 2, 27)"
4,3_33,-55.0,155.0,-57.6116,157.6568,Macquarie Island region,Country not found,5.4,10.0,1550988031635,"(2019, 2, 24)"
5,4_6,-45.0,-115.0,-49.516,-116.3691,southern East Pacific Rise,Country not found,5.1,10.0,1551235469760,"(2019, 2, 27)"
6,4_9,-45.0,-85.0,-41.3352,-88.2731,West Chile Rise,Country not found,5.5,10.0,1549130138800,"(2019, 2, 2)"
7,5_0,-35.0,-175.0,-31.3261,-178.4233,Kermadec Islands region,Country not found,5.0,35.0,1550030839790,"(2019, 2, 13)"
8,5_23,-35.0,55.0,-32.8442,57.1155,Southwest Indian Ridge,Country not found,5.5,10.0,1549595465100,"(2019, 2, 8)"
9,6_0,-25.0,-175.0,-23.709,-176.8628,south of the Fiji Islands,Country not found,5.3,90.6,1549064893610,"(2019, 2, 1)"
10,6_0,-25.0,-175.0,-24.431,-175.7176,south of Tonga,Country not found,5.3,10.0,1549276679170,"(2019, 2, 4)"
11,6_0,-25.0,-175.0,-21.5493,-174.113,"90 km ESE of ‘Ohonua, Tonga",Country not found,5.2,10.0,1550541939490,"(2019, 2, 19)"
12,6_0,-25.0,-175.0,-24.0324,-175.3623,south of Tonga,Country not found,5.1,10.0,1550055229523,"(2019, 2, 13)"
13,6_10,-25.0,-75.0,-29.7751,-71.813,"49 km WNW of Coquimbo, Chile",Country not found,5.3,10.0,1551108522090,"(2019, 2, 25)"
14,6_11,-25.0,-65.0,-23.4656,-64.6916,"29 km NW of Yuto, Argentina",Argentina,5.0,10.0,1550409728030,"(2019, 2, 17)"
15,7_0,-15.0,-175.0,-16.6409,-173.5706,"79 km SSE of Hihifo, Tonga",Country not found,5.3,35.0,1549069899600,"(2019, 2, 2)"
16,7_0,-15.0,-175.0,-15.1113,-173.4927,"98 km NNE of Hihifo, Tonga",Country not found,5.1,10.0,1549805229360,"(2019, 2, 10)"
17,7_0,-15.0,-175.0,-15.7596,-172.1771,"174 km E of Hihifo, Tonga",Country not found,5.0,10.0,1549927620610,"(2019, 2, 11)"
18,7_10,-15.0,-75.0,-12.1674,-74.3097,"49 km NNE of Paucarbamba, Peru",Peru,5.5,10.0,1550154796800,"(2019, 2, 14)"
19,7_10,-15.0,-75.0,-19.8905,-71.0435,"100 km WNW of Iquique, Chile",Country not found,5.2,12.98,1549475809690,"(2019, 2, 6)"
20,7_10,-15.0,-75.0,-15.2699,-72.9909,"3 km E of Velinga, Peru",Peru,5.2,77.17,1550787453660,"(2019, 2, 21)"
21,7_16,-15.0,-15.0,-17.8432,-13.5249,southern Mid-Atlantic Ridge,Country not found,5.4,10.0,1550870158190,"(2019, 2, 22)"
22,7_34,-15.0,165.0,-15.0563,168.0754,"107 km E of Port-Olry, Vanuatu",Vanuatu,5.2,10.0,1549968787280,"(2019, 2, 12)"
23,7_34,-15.0,165.0,-12.9858,165.9332,"201 km WNW of Sola, Vanuatu",Country not found,5.0,10.0,1549001042190,"(2019, 2, 1)"
24,8_10,-5.0,-75.0,-2.4081,-79.8348,"24 km SSE of Guayaquil, Ecuador",Ecuador,5.8,70.0,1549302348100,"(2019, 2, 4)"
25,8_10,-5.0,-75.0,-2.2377,-79.7366,"14 km ESE of Eloy Alfaro, Ecuador",Ecuador,5.5,70.89,1550832040250,"(2019, 2, 22)"
26,8_27,-5.0,95.0,-0.4203,98.0357,"233 km W of Pariaman, Indonesia",Indonesia,5.6,19.0,1549308594350,"(2019, 2, 4)"
27,8_28,-5.0,105.0,-2.8462,100.0743,"170 km WSW of Sungai Penuh, Indonesia",Indonesia,6.0,20.0,1549099656030,"(2019, 2, 2)"
28,8_28,-5.0,105.0,-2.8764,100.1326,"166 km WSW of Sungai Penuh, Indonesia",Indonesia,5.9,18.0,1549105170340,"(2019, 2, 2)"
29,8_28,-5.0,105.0,-2.7308,100.3019,"142 km WSW of Sungai Penuh, Indonesia",Indonesia,5.8,10.0,1549105298730,"(2019, 2, 2)"
30,8_28,-5.0,105.0,-1.3226,101.5784,"83 km NNE of Sungai Penuh, Indonesia",Indonesia,5.4,10.0,1551310024240,"(2019, 2, 27)"
31,8_28,-5.0,105.0,-2.876,100.0594,"173 km WSW of Sungai Penuh, Indonesia",Indonesia,5.3,10.0,1549101491360,"(2019, 2, 2)"
32,8_28,-5.0,105.0,-2.8248,100.0068,"175 km WSW of Sungai Penuh, Indonesia",Indonesia,5.2,10.0,1549098189840,"(2019, 2, 2)"
33,8_28,-5.0,105.0,-2.9676,100.0958,"175 km SW of Sungai Penuh, Indonesia",Indonesia,5.1,10.0,1549113020600,"(2019, 2, 2)"
34,8_28,-5.0,105.0,-6.5648,101.774,"southwest of Sumatra, Indonesia",Country not found,5.1,10.0,1550602000950,"(2019, 2, 19)"
35,8_28,-5.0,105.0,-6.7647,105.803,"42 km S of Labuan, Indonesia",Indonesia,5.0,66.89,1550101314620,"(2019, 2, 13)"
36,8_29,-5.0,115.0,-9.5093,112.8605,"144 km S of Dampit, Indonesia",Country not found,5.7,23.0,1550518222900,"(2019, 2, 18)"
37,8_30,-5.0,125.0,-0.8942,127.2917,"182 km S of Sofifi, Indonesia",Indonesia,5.0,18.28,1550463349467,"(2019, 2, 18)"
38,8_31,-5.0,135.0,-3.2836,130.7595,"204 km E of Amahai, Indonesia",Indonesia,5.4,10.0,1549179406290,"(2019, 2, 3)"
39,8_32,-5.0,145.0,-2.4095,140.2014,"52 km WNW of Abepura, Indonesia",Indonesia,5.3,8.85,1550299189600,"(2019, 2, 16)"
40,8_32,-5.0,145.0,-9.8131,149.9294,"80 km NW of Alotau, Papua New Guinea",Papua New Guinea,5.1,10.0,1550943633560,"(2019, 2, 23)"
41,8_32,-5.0,145.0,-3.0908,146.2844,"160 km SW of Lorengau, Papua New Guinea",Papua New Guinea,5.0,10.0,1549964749840,"(2019, 2, 12)"
42,8_34,-5.0,165.0,-8.4462,161.0288,"50 km NE of Auki, Solomon Islands",Solomon Islands,5.2,58.98,1549503693250,"(2019, 2, 7)"
43,9_14,5.0,-35.0,4.2909,-32.6219,central Mid-Atlantic Ridge,Country not found,5.5,10.0,1551107133178,"(2019, 2, 25)"
44,9_30,5.0,125.0,9.8456,126.5791,"52 km E of Union, Philippines",Country not found,5.9,20.0,1549626907830,"(2019, 2, 8)"
45,9_30,5.0,125.0,1.4669,126.4203,"130 km NW of Ternate, Indonesia",Indonesia,5.7,40.0,1549512930040,"(2019, 2, 7)"
46,9_30,5.0,125.0,0.7627,126.1896,"133 km W of Ternate, Indonesia",Indonesia,5.5,28.33,1550621438760,"(2019, 2, 20)"
